State,1969-70,1979-80,1989-90,1999-2000,2009-10,2019-20,2020-21,2021-22,1969-70,1979-80,1989-90,1999-2000,2009-10,2019-20,2020-21,2021-22,"Percent change, 1999-2000 to
 2009-10","Percent change, 2009-10 to
 2021-22"
New Jersey ,"$8,626","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970",-2.2,-6.7
New Mexico ,"$8,626","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970",11.0,-9.8
New York ,"$8,626","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970",9.7,-1.1
North Carolina ,"$8,626","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970",-7.1,-12.0
North Dakota ,"$8,626","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970",12.4,-0.2
Ohio ,"$8,626","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970",5.5,-13.3
Oklahoma ,"$8,626","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970",19.0,-11.7
Oregon ,"$8,626","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970",1.9,-3.0
Pennsylvania ,"$8,626","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970",-4.4,-6.1
Rhode Island ,"$8,626","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970",-0.9,-1.0
South Carolina ,"$8,626","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970",2.8,-13.6
South Dakota ,"$8,626","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970",4.4,-1.5
Tennessee ,"$8,626","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970",-0.5,-11.0
Texas ,"$8,626","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970",0.3,-6.2
Utah ,"$8,626","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970",2.6,-1.8
Vermont ,"$8,626","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970",1.5,-1.6
Virginia ,"$8,626","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970",0.8,-7.9
Washington ,"$8,626","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970",0.9,18.3
West Virginia ,"$8,626","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970",2.5,-15.9
Wisconsin ,"$8,626","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970",-2.7,-9.4
Wyoming ,"$8,626","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970","$15,970",27.9,-16.3
